"UnitNumber","insff","inschangetime"
"R2N8R791","1","1,765,980,606"
"R2N8K651","1","1,765,980,572"
"R2N8R791","1","1,765,980,577"
"R2N0D517","1","1,765,980,581"
"R2N8R791","1","1,765,980,659"
"R2N8R791","1","1,765,980,591"
"R2N8K651","1","1,765,980,709"
"R2N8K651","1","1,765,980,575"
"F8N1TBG1","1","1,765,980,627"
"F8N1TBG1","1","1,765,980,627"
"R2N8K651","1","1,765,980,741"
"F8N0JXY5","1","1,765,980,572"
"R2N8K651","1","1,765,980,646"
"R2N8R791","1","1,765,980,740"
"R2N8K651","1","1,765,980,563"
"R2N8R791","1","1,765,980,585"
"R2N8K651","1","1,765,980,566"
"R2N8R791","1","1,765,980,604"
"R2N8R791","1","1,765,980,588"
"R2N8R791","1","1,765,980,640"
"R2N8R791","1","1,765,980,750"
"R2N8R791","1","1,765,980,665"
"R2N0MK84","1","1,765,980,584"
"R2N8K651","1","1,765,980,719"
"R2N8R791","1","1,765,980,614"
"R2NS6290","1","1,765,980,619"
"R2N8K651","1","1,765,980,621"
"R2N8R791","1","1,765,980,596"
"R2N8K651","1","1,765,980,666"
"F8N25N91","1","1,765,980,728"
"R2N8R791","1","1,765,980,600"
"R2N8R791","1","1,765,980,569"
"R2N8K651","1","1,765,980,600"
"R2N8R791","1","1,765,980,744"
"R2N8R791","1","1,765,980,734"
"R2N8K651","1","1,765,980,747"
"R2N9X051","1","1,765,980,786"
"R2N8K651","1","1,765,980,737"
"R2N8R791","1","1,765,980,693"
"R2N8K651","1","1,765,980,752"
"R2N8K651","1","1,765,980,592"
"R2N7Y259","1","1,765,980,643"
"R2N8K651","1","1,765,980,611"
"R2N8R791","1","1,765,980,738"
"R2N8R791","1","1,765,980,616"
"R2N8R791","1","1,765,980,772"
"R2N8R791","1","1,765,980,654"
"R2N8K651","1","1,765,980,657"
"R2N0LM59","1","1,765,980,778"
"R2N8R791","1","1,765,980,622"
"R2N8R791","1","1,765,980,624"
"R2N8R791","1","1,765,980,766"
"R2N8R791","1","1,765,980,781"
"R2N8K651","1","1,765,980,801"
"R2N8R791","1","1,765,980,784"
"R2N8R791","1","1,765,980,777"
"R2N8K651","1","1,765,980,604"
"R2N8R791","1","1,765,980,668"
"R2N8K651","1","1,765,980,624"
"R2N8R791","1","1,765,980,688"
"R2N8R791","1","1,765,980,565"
"R2N8R791","1","1,765,980,792"
"F8N1CGB9","1","1,765,980,589"
"R2N8K651","1","1,765,980,792"
"R2N8R791","1","1,765,980,789"
"R2N8K651","1","1,765,980,799"
"R2N8R791","1","1,765,980,800"
"R2N8R791","1","1,765,980,638"
"R2N8K651","1","1,765,980,853"
"R2N8K651","1","1,765,980,771"
"R2N73237","1","1,765,980,814"
"R2N8R791","1","1,765,980,819"
"D6NH0076","1","1,765,980,861"
"R2N8R791","1","1,765,980,825"
"R2N8K651","1","1,765,980,815"
"R2N0EQ64","1","1,765,980,842"
"R2N8K651","1","1,765,980,891"
"R2N8K651","1","1,765,980,627"
"R2N8R791","1","1,765,980,631"
"R2N8K651","1","1,765,980,678"
"R2N8K651","1","1,765,980,850"
"R2N8K651","1","1,765,980,856"
"R2N8R791","1","1,765,980,635"
"R2N8R791","1","1,765,980,646"
"R2N9X051","1","1,765,980,857"
"R2N8K651","1","1,765,980,859"
"F8N0GGG7","1","1,765,980,948"
"R2N8R791","1","1,765,980,833"
"R2N8R791","1","1,765,980,678"
"R2N8R791","1","1,765,980,680"
"R2N7D234","1","1,765,980,669"
"R2N8R791","1","1,765,980,923"
"R2N8K651","1","1,765,980,840"
"R2N8R791","1","1,765,980,811"
"R2N8R791","1","1,765,980,863"
"R2N2P828","1","1,766,060,857"
"R2N8K651","1","1,766,060,859"
"R2N2P828","1","1,766,060,860"
"R2N2P828","1","1,766,060,870"
"R2N0H422","1","1,766,060,863"
"R2N2P828","1","1,766,060,915"
"R2N8K651","1","1,766,060,872"
"R2N8K651","1","1,766,060,924"
"R2N2P828","1","1,766,060,899"
"R2N2P828","1","1,766,060,917"
"R2N2P828","1","1,766,060,875"
"R2N2P828","1","1,766,060,889"
"R2N2P828","1","1,766,060,879"
"R2N2P828","1","1,766,060,935"
"R2NJ0537","1","1,766,060,877"
"R2N2P828","1","1,766,060,863"
"R2N8K651","1","1,766,060,911"
"R2N2P828","1","1,766,060,912"
"F8N0JUS4","1","1,766,060,893"
"R2N2P828","1","1,766,060,896"
"R2N8K651","1","1,766,060,892"
"R2N8K651","1","1,766,060,897"
"R2N2P828","1","1,766,060,902"
"R2N2P828","1","1,766,060,966"
"R2N2P828","1","1,766,060,924"
"F8N0JUS4","1","1,766,060,901"
"R2N8K651","1","1,766,060,969"
"R2N2P828","1","1,766,060,867"
"F8S23A79","1","1,766,060,856"
"R2N8K651","1","1,766,060,976"
"R2N8K651","1","1,766,060,978"
"R2N8R791","1","1,766,060,931"
"R2N2P828","1","1,766,060,883"
"R2N8K651","1","1,766,060,880"
"R2N2P828","1","1,766,060,927"
"R2N2P828","1","1,766,060,938"
"R2N2P828","1","1,766,060,947"
"R2N8K651","1","1,766,060,918"
"R2N02O24","1","1,766,060,908"
"R2N2P828","1","1,766,061,054"
"R2N2P828","1","1,766,061,012"
"R2N2P828","1","1,766,061,005"
"D6S00J37","1","1,766,061,037"
"R2N8K651","1","1,766,060,928"
"R2N2P828","1","1,766,060,960"
"F8N0CDY2","1","1,766,061,065"
"R2S02H48","1","1,766,061,082"
"R2N2P828","1","1,766,060,905"
"R2N2P828","1","1,766,060,953"
"F8N0YDC8","1","1,766,061,018"
"F8N0JUS4","1","1,766,060,930"
"D6NK4462","1","1,766,061,013"
"R2N8K651","1","1,766,061,015"
"R2N8K651","1","1,766,061,027"
"R2N2P828","1","1,766,060,969"
"R2N2P828","1","1,766,060,921"
"R2N2P828","1","1,766,061,073"
"R2N2P828","1","1,766,060,995"
"R2N8K651","1","1,766,061,025"
"R2N8K651","1","1,766,060,972"
"R2N2P828","1","1,766,061,092"
"R2N8K651","1","1,766,060,998"
"R2N8K651","1","1,766,060,994"
"R2N2P828","1","1,766,060,931"
"R2N2P828","1","1,766,060,956"
"R2S02H48","1","1,766,061,103"
"R2N2P828","1","1,766,060,963"
"F8N1FEF2","1","1,766,061,148"
"R2N2P828","1","1,766,061,018"
"R2N8K651","1","1,766,060,967"
"R2N2P828","1","1,766,060,977"
"R2N2P828","1","1,766,060,972"
"R2N8K651","1","1,766,060,981"
"R2N2P828","1","1,766,060,983"
"N8S00N39","1","1,766,061,157"
"R2N2P828","1","1,766,061,163"
"R2N2P828","1","1,766,060,885"
"R2N8K651","1","1,766,060,885"
"D3B00012","1","1,766,061,092"
"R2N2P828","1","1,766,061,124"
"R2N2P828","1","1,766,061,002"
"D6N36861","1","1,766,060,975"
"R2N8K651","1","1,766,060,947"
"R2N4N450","1","1,766,061,054"
"F8S54A67","1","1,766,060,961"
"R2N2P828","1","1,766,061,238"
"R2N8K651","1","1,766,060,950"
"R2N7Y258","1","1,766,060,963"
"R2N2P828","1","1,766,061,060"
"R2N1Z620","1","1,766,060,956"
"F8S54A67","1","1,766,060,888"
"R2N2P828","1","1,766,061,096"
"R2N2P828","1","1,766,061,028"
"R2N2P828","1","1,766,061,221"
"R2N2P828","1","1,766,061,069"
"R2N2P828","1","1,766,061,121"
"R2N8K651","1","1,766,061,006"
"R2N2P828","1","1,766,060,979"
"R2N8K639","1","1,766,094,161"
"R2N8K639","1","1,766,094,212"
"R2N8K651","1","1,766,094,298"
"R2N8K639","1","1,766,094,190"
"R2N8K651","1","1,766,094,157"
"R2N8K651","1","1,766,094,160"
"R2N8K651","1","1,766,094,184"
"R2NH4275","1","1,766,094,065"
"R2N8K651","1","1,766,094,169"
"R2N8K639","1","1,766,094,203"
"R2N8K639","1","1,766,094,209"
"R2N8K651","1","1,766,094,224"
"R2N8R791","1","1,766,094,300"
"D7N01966","1","1,766,094,163"
"R2N8R791","1","1,766,094,229"
"R2N8K639","1","1,766,094,223"
"R2N8K639","1","1,766,094,177"
"R2N8K639","1","1,766,094,218"
"R2N8R791","1","1,766,094,237"
"R2N8R791","1","1,766,094,336"
"R2N8R791","1","1,766,094,203"
"R2N8R791","1","1,766,094,164"
"R2N8K639","1","1,766,094,199"
"R2N8K651","1","1,766,094,182"
"R2N8R791","1","1,766,094,175"
"R2N8R791","1","1,766,094,206"
"R2N8K651","1","1,766,094,241"
"R2N8K639","1","1,766,094,183"
"R2N8K651","1","1,766,094,243"
"R2N8K651","1","1,766,094,207"
"R2N8K651","1","1,766,094,250"
"R2N8K651","1","1,766,094,201"
"R2N8R791","1","1,766,094,220"
"R2N8K651","1","1,766,094,220"
"R2N8R791","1","1,766,094,246"
"R2N8K639","1","1,766,094,230"
"R2N8K651","1","1,766,094,280"
"R2N8R791","1","1,766,094,213"
"R2N8K639","1","1,766,094,284"
"R2N8K639","1","1,766,094,235"
"R2N8R791","1","1,766,094,286"
"R2N8R791","1","1,766,094,173"
"R2N8K651","1","1,766,094,290"
"R2N8R791","1","1,766,094,224"
"R2N8R791","1","1,766,094,305"
"R2N8K651","1","1,766,094,231"
"R2N8K639","1","1,766,094,248"
"R2N8K639","1","1,766,094,242"
"R2N8K639","1","1,766,094,335"
"R2N8K651","1","1,766,094,305"
"R2N8K639","1","1,766,094,254"
"R2N8R791","1","1,766,094,310"
"R2N8R791","1","1,766,094,269"
"R2N8R791","1","1,766,094,179"
"R2N8K651","1","1,766,094,338"
"R2N8R791","1","1,766,094,322"
"R2N8R791","1","1,766,094,168"
"R2N8R791","1","1,766,094,330"
"R2N8K651","1","1,766,094,302"
"F8N1CGB9","1","1,766,094,441"
"R2N8R791","1","1,766,094,240"
"R2N8K639","1","1,766,094,481"
"F8N1NMT7","1","1,766,094,501"
"R2N8R791","1","1,766,094,186"
"R2N8R791","1","1,766,094,276"
"R2N8K651","1","1,766,094,380"
"R2N8R791","1","1,766,094,248"
"R2N8R791","1","1,766,094,189"
"R2N8K651","1","1,766,094,254"
"R2N8K639","1","1,766,094,215"
"R2N8K651","1","1,766,094,189"
"R2N8K651","1","1,766,094,260"
"R2N8K639","1","1,766,094,345"
"R2N8R791","1","1,766,094,511"
"R2N8R791","1","1,766,094,193"
"R2N8K651","1","1,766,094,363"
"R2N8K651","1","1,766,094,296"
"R2N8K639","1","1,766,094,174"
"R2N8K639","1","1,766,094,368"
"R2N8R791","1","1,766,094,368"
"R2N8R791","1","1,766,094,371"
"R2N8K651","1","1,766,094,197"
"R2N8K639","1","1,766,094,513"
"R2N8R791","1","1,766,094,430"
"R2N8R791","1","1,766,094,378"
"R2N8K651","1","1,766,094,309"
"R2N8R791","1","1,766,094,373"
"R2N8K639","1","1,766,094,252"
"R2N8R791","1","1,766,094,316"
