"UnitNumber","abff","changetime","opmode","floor"
"F8N70Z30","1","1,766,104,136","DCP","8"
"F8N70Z30","1","1,766,103,199","DCP","10"
"F8N47Z91","1","1,766,106,537","HAD","2"
"F8N1RBB4","1","1,766,108,512","DTO","1"
"F8N47Z91","1","1,766,106,980","ESB","5"
"F8N1ABS8","1","1,766,048,209","",""
"N8N01F35","1","1,766,048,250","DCP","2"
"R2NP8613","1","1,766,036,480","DCP","2"
"F8NVE247","1","1,766,038,012","DCP","3"
"R2N8D051","1","1,766,038,113","DTC","12"
"F8N64Z75","1","1,766,037,874","NAV","17"
"R2N1N964","1","1,766,038,150","ESB","2"
"R2N07108","1","1,766,038,127","DTC","12"
"R2N7F022","1","1,766,038,000","HAD","1"
"R2N34665","1","1,766,037,998","DCP","13"
"F8N0SLT5","1","1,766,038,030","DCP","43"
"N8S00R39","1","1,766,038,193","DCP","24"
"D6N35162","1","1,766,037,986","DCP","0"
"F8N0PBP5","1","1,766,038,140","NAV","9"
"R2N6M374","1","1,766,038,128","DCP","0"
"D6N45178","1","1,766,037,918","DTC","14"
"R2N43297","1","1,766,038,050","HAD","1"
"R2N2N397","1","1,766,038,147","ESB","1"
"R2N1J110","1","1,766,038,211","NAV","1"
"F8N0GFU9","1","1,766,038,063","DCP","6"
"R2N0S773","1","1,766,038,072","DCP","19"
"F8N0LPY2","1","1,766,038,077","DCP","7"
"R2N6Y253","1","1,766,038,054","HAD","1"
"R2N0DU75","1","1,766,038,219","",""
"F8N04U76","1","1,766,038,141","DCP","2"
"F8N86602","1","1,766,038,219","DTC","0"
"R2N5G743","1","1,766,037,184","DCP","4"
"F8S57B98","1","1,766,037,329","NAV","1"
"F8N30K85","1","1,766,038,001","HAD","1"
"F8N1WAW4","1","1,766,038,191","",""
"D6N00R36","1","1,766,038,300","",""
"R2N2R396","1","1,766,038,151","DTC","23"
"D7K1Z513","1","1,766,018,971","DTC","7"
"R2N0N410","1","1,766,038,209","DTC","9"
"F8N46M61","1","1,766,037,987","NAV","1"
"R2N9Y906","1","1,766,038,160","DCP","4"
"R2N4P390","1","1,766,038,042","DCP","5"
"R2N27777","1","1,766,038,167","ESB","1"
"D6N68064","1","1,766,038,052","DCP","5"
"R2N07G38","1","1,766,038,215","DTC","0"
"F8N64Y35","1","1,766,038,152","ESB","1"
"F8N1AYR8","1","1,766,038,239","",""
"D6N20645","1","1,766,038,142","DCP","24"
"R2N40660","1","1,766,036,479","ESB","1"
"N8N02Z94","1","1,766,036,551","",""
"F8S04B78","1","1,766,036,451","DTC","9"
"R2N7R213","1","1,766,036,385","DCP","1"
"R2N7W916","1","1,766,036,496","DTC","1"
"F8N1NHS1","1","1,766,036,485","DTC","1"
"F8N1YUX2","1","1,766,036,511","ESB","1"
"F8N36W92","1","1,766,036,389","DCP","1"
"R2K02H59","1","1,766,036,415","DCP","1"
"R2N0N934","1","1,766,036,585","ESB","1"
"R2N1U925","1","1,766,036,355","DCP","1"
"R2N3U312","1","1,766,036,603","DBF","2"
"D6NF2695","1","1,766,036,706","DCP","1"
"F8S54A91","1","1,766,036,488","NAV","2"
"R2N5M653","1","1,766,036,476","DCP","3"
"R2N4G232","1","1,766,036,483","ESB","1"
"F8N0FED1","1","1,766,036,326","NAV","19"
"F8N1FDS8","1","1,766,036,489","DCP","3"
"N8N02B87","1","1,766,036,598","DCP","9"
"D6NK4023","1","1,766,036,442","DTC","5"
"D6N01I70","1","1,766,036,693","",""
"F8N08N03","1","1,766,036,663","NAV","1"
"F8N1FDL3","1","1,766,036,419","DCP","7"
"F8N69S07","1","1,766,036,508","DTC","17"
"D6N39463","1","1,766,036,512","COR","255"
"R2NP8603","1","1,766,036,432","DCP","2"
"F8N0NXB6","1","1,766,036,474","HAD","16"
"F8N0XSJ9","1","1,766,036,579","NAV","8"
"R2N46721","1","1,766,036,510","ESB","1"
"R2N4H074","1","1,766,036,346","DCP","1"
"F8N1TBD1","1","1,766,036,454","DCP","8"
"R2N5Y330","1","1,766,038,153","DCP","4"
"R2N5S063","1","1,766,038,098","ESB","1"
"F8N0WKJ5","1","1,766,038,030","NAV","1"
"F8N1ATC6","1","1,766,038,186","NAV","6"
"R2N09C62","1","1,766,037,961","DCP","1"
"R2N80979","1","1,766,038,289","ESB","1"
"D6N64528","1","1,766,038,058","DCP","1"
"R2N4R654","1","1,766,038,173","NAV","1"
"F8N0PPM1","1","1,766,037,915","NAV","27"
"R2N0S974","1","1,766,038,174","DTC","15"
"D6N59185","1","1,766,038,223","",""
"R2N5J724","1","1,766,038,140","DCP","22"
"R2NO3328","1","1,766,038,221","ESB","2"
"F8N56S53","1","1,766,038,169","DCP","18"
"F8N15Z45","1","1,766,037,985","DCP","9"
"R2NV8071","1","1,766,038,287","DCP","0"
"R2N8T645","1","1,766,038,053","DCP","12"
"R2N7R444","1","1,766,038,512","NAV","10"
"F8N1PGD9","1","1,766,038,276","NAV","1"
"N8S01D11","1","1,766,038,031","DCP","1"
"F8N85A15","1","1,766,038,522","ESB","1"
"F8K22B76","1","1,766,038,129","ESB","1"
"F8N1BLS8","1","1,766,038,291","DCP","33"
"R2N8S074","1","1,766,038,030","DCP","0"
"F8N21S93","1","1,766,038,480","ESB","2"
"R2S07991","1","1,766,038,149","ESB","1"
"F8S06B61","1","1,765,980,601","ESB","1"
"R2NF0458","1","1,765,980,427","NAV","0"
"R2N7Y038","1","1,765,980,640","DTC","0"
"F8N0TGJ7","1","1,765,980,255","DCP","7"
"R2N9X058","1","1,765,980,443","ESB","1"
"R2K01C51","1","1,765,980,415","NAV","1"
"R2N7Y038","1","1,765,980,515","DTC","0"
"F8N1NCT4","1","1,765,980,387","DCP","14"
"R2N1X724","1","1,765,980,380","DCP","1"
"R2N0JU55","1","1,765,980,475","NAV","3"
"R2N9P825","1","1,765,980,476","NAV","5"
"R2N8R285","1","1,765,980,630","DTC","1"
"F8N0NNM1","1","1,765,980,438","HAD","1"
"R2NV5817","1","1,765,980,102","DCP","13"
"D6NL7704","1","1,765,980,324","DCP","2"
"R2N1Z612","1","1,765,980,455","ESB","0"
"F8N46S91","1","1,765,980,486","DCP","14"
"R2NV5817","1","1,765,980,718","DCP","3"
"R2N0JU55","1","1,765,980,668","NAV","3"
